Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
78,Eastern Ill. (OVC),12,3-9,771,"4,107",5.33,28,342.3
79,Cal Poly (Big Sky),11,3-8,694,"3,706",5.34,26,336.9
80,Tennessee St. (OVC),13,9-4,819,"4,365",5.33,40,335.8
81,Georgetown (Patriot),11,5-6,721,"3,688",5.12,25,335.3
82,Ark.-Pine Bluff (SWAC),12,3-9,720,"4,021",5.58,34,335.1
83,LIU (NEC),12,4-8,701,"4,017",5.73,33,334.8
84,UAlbany (CAA),12,4-8,802,"4,016",5.01,27,334.7
85,UNI (MVFC),12,3-9,689,"3,970",5.76,27,330.8
86,Colgate (Patriot),12,2-10,762,"3,959",5.20,28,329.9
87,Tennessee Tech (OVC),12,7-5,739,"3,930",5.32,31,327.5
88,Southeastern La. (Southland),12,7-5,831,"3,915",4.71,30,326.3
89,Merrimack (FCS Independent),11,5-6,638,"3,536",5.54,26,321.5
90,The Citadel (SoCon),12,5-7,768,"3,838",5.00,29,319.8
91,Central Conn. St. (NEC),13,7-6,873,"4,153",4.76,35,319.5
92,Howard (MEAC),12,4-8,792,"3,829",4.83,32,319.1
93,Furman (SoCon),11,3-8,739,"3,465",4.69,24,315
94,Morgan St. (MEAC),12,6-6,748,"3,775",5.05,36,314.6
95,Alabama St. (SWAC),12,7-5,671,"3,753",5.59,26,312.8
96,Villanova (CAA),14,10-4,851,"4,375",5.14,39,312.5
97,Maine (CAA),12,5-7,719,"3,748",5.21,33,312.3
98,Prairie View (SWAC),12,5-7,765,"3,730",4.88,24,310.8
99,Utah Tech (ASUN),12,1-11,786,"3,726",4.74,28,310.5
100,Marist (Pioneer),11,1-10,735,"3,404",4.63,26,309.5
101,Delaware St. (MEAC),12,1-11,709,"3,711",5.23,28,309.3
102,Dayton (Pioneer),11,6-5,743,"3,366",4.53,27,306
103,Wagner (NEC),12,4-8,727,"3,661",5.04,32,305.1
104,Murray St. (MVFC),12,1-11,749,"3,641",4.86,24,303.4
105,Indiana St. (MVFC),12,4-8,754,"3,567",4.73,29,297.3
106,N.C. A&T (CAA),12,1-11,766,"3,561",4.65,19,296.8
107,Fordham (Patriot),12,2-10,802,"3,540",4.41,23,295
108,Norfolk St. (MEAC),12,4-8,683,"3,520",5.15,30,293.3
108,Wofford (SoCon),12,5-7,714,"3,520",4.93,21,293.3
110,Sacred Heart (FCS Independent),11,5-6,658,"3,203",4.87,23,291.2
111,New Hampshire (CAA),13,8-5,817,"3,773",4.62,32,290.2
112,Bethune-Cookman (SWAC),12,2-10,744,"3,482",4.68,26,290.2
113,Northern Colo. (Big Sky),12,1-11,755,"3,422",4.53,18,285.2
114,Mississippi Val. (SWAC),12,1-11,778,"3,418",4.39,27,284.8
115,Saint Francis (NEC),11,4-7,652,"3,112",4.77,20,282.9
116,Grambling (SWAC),12,5-7,743,"3,387",4.56,30,282.3
117,Princeton (Ivy League),10,3-7,624,"2,753",4.41,26,275.3
118,Charleston So. (OVC),12,1-11,692,"3,216",4.65,20,268
119,Texas Southern (SWAC),11,5-6,649,"2,916",4.49,26,265.1
120,Morehead St. (Pioneer),12,7-5,661,"2,965",4.49,25,247.1
121,Valparaiso (Pioneer),11,4-7,595,"2,534",4.26,19,230.4
122,Northwestern St. (Southland),12,0-12,667,"2,607",3.91,15,217.3
123,VMI (SoCon),12,1-11,696,"2,518",3.62,15,209.8
