Rank,Team,G,W-L,Opp 3rd Conv,Opp 3rd Att,Pct
112,Bucknell (Patriot),11,4-7,74,161,0.46
113,Hampton (CAA),11,5-6,66,141,0.468
114,Holy Cross (Patriot),11,7-4,71,151,0.47
115,Brown (Ivy League),10,5-5,70,148,0.473
116,Murray St. (MVFC),11,2-9,67,137,0.489
117,North Dakota (MVFC),12,7-5,75,153,0.49
118,Maine (CAA),11,2-9,70,141,0.496
119,Northern Colo. (Big Sky),11,0-11,69,137,0.504
120,Towson (CAA),11,5-6,76,150,0.507
121,Western Ill. (MVFC),11,0-11,60,116,0.517
122,McNeese (Southland),10,0-10,73,134,0.545
