Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
86,Campbell (Big South),11,3-8,769,"4,389",5.71,37,40,399
87,Wagner (NEC),11,0-11,726,"4,440",6.12,55,58,403.6
88,Butler (Pioneer),11,3-8,668,"4,447",6.66,49,51,404.3
89,Indiana St. (MVFC),11,5-6,745,"4,466",5.99,40,42,406
90,Idaho (Big Sky),11,4-7,775,"4,482",5.78,45,47,407.5
91,Presbyterian (Pioneer),11,2-9,688,"4,513",6.56,77,82,410.3
92,New Hampshire (CAA),11,3-8,798,"4,563",5.72,39,41,414.8
93,Robert Morris (Big South),10,4-6,651,"4,217",6.48,44,45,421.7
94,The Citadel (SoCon),11,4-7,673,"4,646",6.90,45,49,422.4
95,UIW (Southland),13,10-3,999,"5,559",5.56,42,44,427.6
96,Bethune-Cookman (SWAC),11,2-9,783,"4,707",6.01,49,54,427.9
97,UC Davis (Big Sky),12,8-4,886,"5,136",5.80,33,35,428
98,Southeastern La. (Southland),13,9-4,884,"5,575",6.31,56,59,428.8
99,Idaho St. (Big Sky),11,1-10,747,"4,725",6.33,42,47,429.5
100,Hampton (Big South),11,5-6,742,"4,731",6.38,43,44,430.1
101,Southeast Mo. St. (OVC),11,4-7,738,"4,736",6.42,43,46,430.5
102,Alabama A&M (SWAC),10,7-3,658,"4,311",6.55,45,48,431.1
103,Morgan St. (MEAC),11,2-9,791,"4,775",6.04,42,46,434.1
104,Lamar University (WAC),10,1-9,643,"4,353",6.77,49,54,435.3
105,Dayton (Pioneer),10,6-4,723,"4,388",6.07,36,38,438.8
106,Northern Ariz. (Big Sky),11,5-6,829,"4,828",5.82,35,41,438.9
107,Northwestern St. (Southland),11,3-8,773,"4,875",6.31,48,50,443.2
108,VMI (SoCon),11,6-5,798,"4,880",6.12,47,48,443.6
109,LIU (NEC),10,2-8,678,"4,442",6.55,50,53,444.2
110,Morehead St. (Pioneer),11,7-4,813,"4,909",6.04,43,46,446.3
111,Brown (Ivy League),10,2-8,650,"4,488",6.90,53,58,448.8
112,Bucknell (Patriot),11,1-10,748,"4,955",6.62,52,54,450.5
113,Ark.-Pine Bluff (SWAC),11,2-9,769,"4,991",6.49,53,55,453.7
114,Wofford (SoCon),11,1-10,773,"4,999",6.47,47,48,454.5
115,Western Ill. (MVFC),11,2-9,746,"5,022",6.73,54,56,456.5
116,Western Caro. (SoCon),11,4-7,812,"5,028",6.19,60,61,457.1
117,Cal Poly (Big Sky),11,2-9,840,"5,062",6.03,51,57,460.2
118,Fordham (Patriot),11,6-5,903,"5,104",5.65,46,48,464
119,Southern Utah (Big Sky),11,1-10,727,"5,175",7.12,54,57,470.5
120,Youngstown St. (MVFC),10,3-7,662,"4,746",7.17,47,47,474.6
121,Houston Christian (Southland),11,0-11,861,"5,292",6.15,54,61,481.1
122,Texas Southern (SWAC),10,2-8,757,"4,987",6.59,48,53,498.7
123,Samford (SoCon),11,4-7,870,"5,559",6.39,55,57,505.4
