Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
South Carolina,SEC,2-0,9.6,32,28.1,62,18.5,20,0.0,64,,14-Sep,6:00 PM,Colgate at Akron,Akron,5.6,64%,23-18,,,,,,
Arizona,Big 12,2-0,9.5,33,36.4,15,27.1,69,0.2,20,,14-Sep,6:00 PM,Connecticut at Duke,Duke,23.1,93%,35-12,Duke -16,Duke,7.1,47.5,Under,-0.1
Florida State,ACC,0-2,9.3,34,30.0,44,20.8,32,0.2,12,,14-Sep,6:00 PM,Florida International at Florida Atlantic,Florida Atlantic,1.6,54%,25-23,Florida Atlantic -6,Florida International,4.4,42.5,Over,5.9
Arkansas,SEC,1-1,9.2,35,34.3,26,25.1,52,0.0,72,,14-Sep,6:00 PM,Gardner-Webb at Charlotte,Charlotte,6.8,67%,29-23,,,,,,
Kansas,Big 12,1-1,9.1,36,35.1,17,26.2,64,0.2,15,,14-Sep,6:00 PM,NC Central at North Carolina,North Carolina,34.8,99%,46-11,,,,,,
SMU,ACC,2-1,8.5,37,31.6,40,23.1,39,0.0,60,,14-Sep,6:00 PM,SC State at Georgia Southern,Georgia Southern,24.4,94%,45-20,,,,,,
Rutgers,Big Ten,2-0,8.1,38,26.2,80,18.4,19,0.2,5,,14-Sep,6:00 PM,UTEP at Liberty,Liberty,24.5,94%,41-16,Liberty -22,Liberty,2.5,57.5,Under,-0.5
Minnesota,Big Ten,1-1,8.0,39,24.4,87,16.4,14,-0.1,98,,14-Sep,6:00 PM,Virginia Tech at Old Dominion,Virginia Tech,14.7,82%,34-19,Virginia Tech -14,Virginia Tech,0.7,49.5,Over,3.2
Kentucky,SEC,1-1,7.9,40,29.6,50,21.9,34,0.2,16,,14-Sep,6:30 PM,Bethune-Cookman at Western Michigan,Western Michigan,24.9,94%,39-14,,,,,,
West Virginia,Big 12,1-1,7.5,41,34.2,27,26.9,68,0.1,27,,14-Sep,6:30 PM,Ole Miss at Wake Forest,Ole Miss,26.6,95%,42-15,Ole Miss -23,Ole Miss,3.6,63.5,Under,-6.1
Maryland,Big Ten,1-1,6.3,42,26.3,77,20.0,26,-0.1,86,,14-Sep,7:00 PM,Hawaii at Sam Houston,Sam Houston,0.1,50%,26-26,Sam Houston -3,Hawaii,2.9,52.5,Under,-0.8
Boise State,MWC,1-1,6.0,43,34.9,21,28.8,79,-0.1,90,,14-Sep,7:00 PM,Jacksonville State at Eastern Michigan,Eastern Michigan,6.6,66%,28-22,Eastern Michigan -1.5,Eastern Michigan,5.1,48.5,Over,1.4
Washington State,Indies,2-0,6.0,44,34.5,24,28.3,74,-0.2,118,,14-Sep,7:00 PM,Kennesaw State at San Jose State,San Jose State,20.8,90%,35-14,San Jose State -19,San Jose State,1.8,44.5,Over,4.6
Virginia Tech,ACC,1-1,5.7,45,29.6,49,24.0,44,0.1,51,,14-Sep,7:00 PM,USF at Southern Miss,USF,8.8,71%,33-25,USF -12,Southern Miss,3.2,57.5,Over,0.6
North Carolina,ACC,2-0,5.7,46,31.4,41,25.9,60,0.2,9,,14-Sep,7:00 PM,UTSA at Texas,Texas,38.0,99%,48-10,Texas -33.5,Texas,4.5,54.5,Over,3.9
Oregon State,Indies,2-0,5.4,47,29.9,48,24.3,46,-0.2,127,,14-Sep,7:00 PM,Vanderbilt at Georgia State,Vanderbilt,11.2,76%,35-23,Vanderbilt -10,Vanderbilt,1.2,46.5,Over,11.5
California,ACC,2-0,5.4,48,31.7,39,26.1,63,-0.1,108,,14-Sep,7:00 PM,Western Kentucky at Middle Tennessee,Western Kentucky,10.7,75%,34-23,Western Kentucky -7.5,Western Kentucky,3.2,54.5,Over,2.0
Illinois,Big Ten,2-0,4.9,49,25.1,84,20.3,29,0.1,45,,14-Sep,7:30 PM,Air Force at Baylor,Baylor,16.8,85%,32-15,Baylor -13.5,Baylor,3.3,43.5,Over,3.2
Duke,ACC,2-0,4.6,50,24.6,85,20.1,28,0.0,62,,14-Sep,7:30 PM,Colorado at Colorado State,Colorado,8.3,70%,34-26,Colorado -7.5,Colorado,0.8,59.5,Over,0.7
UCLA,Big Ten,1-0,4.5,51,26.3,78,21.8,33,-0.1,85,,14-Sep,7:30 PM,Eastern Illinois at Northwestern,Northwestern,29.6,97%,32-3,,,,,,
Mississippi State,SEC,1-1,4.4,52,29.2,53,24.7,49,0.0,76,,14-Sep,7:30 PM,Georgia at Kentucky,Georgia,22.5,92%,38-16,Georgia -24,Kentucky,1.5,46.5,Over,7.1
Baylor,Big 12,1-1,4.4,53,28.9,55,24.6,48,0.1,31,,14-Sep,7:30 PM,Indiana at UCLA,UCLA,2.5,56%,26-23,Indiana -3,UCLA,5.5,48.5,Over,0.4
Indiana,Big Ten,2-0,4.3,54,26.9,71,22.8,38,0.2,18,,14-Sep,7:30 PM,New Mexico at Auburn,Auburn,35.4,99%,46-10,Auburn -28,Auburn,7.4,58.5,Under,-2.4
Boston College,ACC,2-0,4.1,55,28.5,59,24.3,47,-0.1,104,,14-Sep,7:30 PM,Northern Iowa at Nebraska,Nebraska,21.9,92%,27-5,,,,,,
NC State,ACC,1-1,3.7,56,27.3,68,23.6,43,0.0,56,,14-Sep,7:30 PM,Toledo at Mississippi State,Mississippi State,8.4,70%,29-21,Mississippi State -9.5,Toledo,1.1,57.5,Under,-7.7
UL-Lafayette,Sun Belt,2-0,3.1,57,33.8,30,30.8,88,0.2,21,,14-Sep,7:30 PM,UCF at TCU,TCU,0.9,52%,29-28,TCU -2,UCF,1.1,62.5,Under,-5.3
Purdue,Big Ten,1-0,3.0,58,28.3,61,25.3,54,0.0,63,,14-Sep,7:45 PM,Kent State at Tennessee,Tennessee,51.6,100%,52-1,Tennessee -48,Tennessee,3.6,62.5,Under,-9.2
BYU,Big 12,2-0,2.9,59,29.4,52,26.4,65,-0.1,87,,14-Sep,8:00 PM,Maryland at Virginia,Maryland,3.9,60%,28-24,Maryland -2.5,Maryland,1.4,54.5,Under,-2.8
Tulane,AAC,1-1,2.8,60,28.5,58,25.9,59,0.2,23,,14-Sep,8:00 PM,Rice at Houston,Houston,2.8,57%,30-27,Houston -5,Rice,2.2,42.5,Over,14.9
UNLV,MWC,2-0,2.5,61,34.0,29,31.7,96,0.1,26,,14-Sep,9:00 PM,BYU at Wyoming,BYU,16.1,84%,34-17,BYU -8.5,BYU,7.6,39.5,Over,11.5
Arizona State,Big 12,2-0,2.0,62,28.1,63,26.0,61,-0.1,102,,14-Sep,10:30 PM,New Mexico State at Fresno State,Fresno State,12.6,79%,35-22,Fresno State -21,New Mexico State,8.4,48.5,Over,8.1
Pittsburgh,ACC,2-0,2.0,63,27.0,70,25.2,53,0.2,6,,14-Sep,10:30 PM,San Diego State at California,California,16.8,85%,35-18,California -17.5,San Diego State,0.7,50.5,Over,2.0
Liberty,CUSA,2-0,1.8,64,33.2,32,31.3,91,-0.1,105,,,,,,,,,,,,,,
James Madison,Sun Belt,2-0,1.2,65,26.8,73,25.6,56,0.1,53,,,,,,,,,,,,,,
Georgia Tech,ACC,2-1,1.2,66,32.7,35,31.3,92,-0.1,112,,,,,,,,,,,,,,
Syracuse,ACC,2-0,0.5,67,28.6,57,28.0,71,-0.1,93,,,,,,,,,,,,,,
Cincinnati,Big 12,1-1,0.0,68,28.9,54,28.8,80,-0.1,111,,,,,,,,,,,,,,
Virginia,ACC,2-0,-0.1,69,28.5,60,28.6,78,0.0,66,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,2-0,-0.1,70,28.8,56,29.0,81,0.1,36,,,,,,,,,,,,,,
Wake Forest,ACC,1-1,-0.4,71,26.7,74,27.1,70,0.0,70,,,,,,,,,,,,,,
Vanderbilt,SEC,2-0,-0.6,72,29.9,45,30.7,86,0.2,11,,,,,,,,,,,,,,
Texas State,Sun Belt,2-0,-0.8,73,32.3,37,33.0,106,-0.1,100,,,,,,,,,,,,,,
Texas Tech,Big 12,1-1,-0.9,74,30.1,43,31.1,90,0.2,14,,,,,,,,,,,,,,
Toledo,MAC,2-0,-1.4,75,22.2,93,23.4,41,-0.2,124,,,,,,,,,,,,,,
Michigan State,Big Ten,2-0,-1.7,76,16.8,119,18.7,21,0.2,7,,,,,,,,,,,,,,
Stanford,ACC,1-1,-2.0,77,28.0,65,30.0,83,0.0,58,,,,,,,,,,,,,,
Fresno State,MWC,1-1,-2.3,78,29.4,51,31.5,94,-0.2,131,,,,,,,,,,,,,,
Colorado,Big 12,1-1,-2.6,79,30.5,42,33.1,107,0.0,77,,,,,,,,,,,,,,
USF,AAC,1-1,-3.2,80,29.9,46,33.2,108,0.1,48,,,,,,,,,,,,,,
Northwestern,Big Ten,1-1,-3.4,81,15.8,121,19.2,23,0.0,68,,,,,,,,,,,,,,
Army,AAC,2-0,-4.0,82,21.7,95,25.9,58,0.2,19,,,,,,,,,,,,,,
East Carolina,AAC,2-0,-4.1,83,19.7,106,24.1,45,0.2,2,,,,,,,,,,,,,,
Northern Illinois,MAC,2-0,-4.8,84,19.0,113,23.6,42,-0.2,120,,,,,,,,,,,,,,
San Jose State,MWC,2-0,-5.0,85,23.6,91,28.5,77,-0.2,113,,,,,,,,,,,,,,
Appalachian State,Sun Belt,1-1,-5.1,86,29.9,47,35.0,117,0.0,67,,,,,,,,,,,,,,
Navy,AAC,2-0,-5.5,87,20.6,100,26.0,62,-0.1,94,,,,,,,,,,,,,,
Western Kentucky,CUSA,1-1,-5.7,88,26.5,76,32.1,99,-0.1,106,,,,,,,,,,,,,,
UTSA,AAC,1-1,-6.1,89,25.9,81,31.8,97,-0.1,107,,,,,,,,,,,,,,
North Texas,AAC,2-0,-6.2,90,33.6,31,39.7,131,-0.1,83,,,,,,,,,,,,,,
Houston,Big 12,0-2,-6.3,91,25.4,83,31.5,93,-0.2,115,,,,,,,,,,,,,,
Rice,AAC,1-1,-6.5,92,25.7,82,32.2,101,0.0,57,,,,,,,,,,,,,,
Marshall,Sun Belt,1-1,-6.6,93,24.2,89,30.6,85,-0.2,123,,,,,,,,,,,,,,
Bowling Green,MAC,1-1,-7.5,94,24.5,86,32.2,100,0.2,22,,,,,,,,,,,,,,
Troy,Sun Belt,0-2,-7.8,95,22.8,92,30.4,84,-0.1,110,,,,,,,,,,,,,,
Miami-OH,MAC,0-1,-8.3,96,13.8,127,22.0,35,-0.1,92,,,,,,,,,,,,,,
San Diego State,MWC,1-1,-8.9,97,19.3,112,28.0,72,-0.1,109,,,,,,,,,,,,,,
Tulsa,AAC,1-1,-9.2,98,26.6,75,35.8,121,-0.1,99,,,,,,,,,,,,,,
Arkansas State,Sun Belt,2-0,-9.3,99,27.0,69,36.4,123,0.1,55,,,,,,,,,,,,,,
Air Force,MWC,1-1,-9.8,100,15.1,124,24.8,50,-0.2,125,,,,,,,,,,,,,,
Hawaii,MWC,1-1,-10.0,101,20.7,99,30.8,87,0.1,38,,,,,,,,,,,,,,
UAB,AAC,1-1,-10.4,102,28.0,64,38.5,129,0.1,49,,,,,,,,,,,,,,
Old Dominion,Sun Belt,0-2,-11.5,103,20.2,103,31.6,95,0.0,79,,,,,,,,,,,,,,
South Alabama,Sun Belt,0-2,-11.8,104,24.2,88,35.9,122,-0.1,91,,,,,,,,,,,,,,
Ohio,MAC,1-1,-12.0,105,13.6,129,25.7,57,0.1,47,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,1-1,-12.0,106,26.3,79,38.5,128,0.2,10,,,,,,,,,,,,,,
Sam Houston,CUSA,1-1,-12.5,107,19.8,105,32.1,98,-0.2,122,,,,,,,,,,,,,,
New Mexico State,CUSA,1-1,-12.5,108,19.8,104,32.4,102,0.1,28,,,,,,,,,,,,,,
Colorado State,MWC,1-1,-13.4,109,21.7,94,35.1,118,-0.1,95,,,,,,,,,,,,,,
Utah State,MWC,1-1,-13.9,110,26.8,72,40.9,133,0.2,17,,,,,,,,,,,,,,
Louisiana Tech,CUSA,1-0,-13.9,111,21.3,97,35.2,119,0.0,75,,,,,,,,,,,,,,
Georgia State,Sun Belt,1-1,-14.2,112,20.6,101,34.8,113,-0.1,84,,,,,,,,,,,,,,
Florida International,CUSA,1-1,-14.4,113,20.3,102,34.8,115,0.1,43,,,,,,,,,,,,,,
Central Michigan,MAC,1-1,-14.4,114,19.7,107,34.0,111,-0.1,101,,,,,,,,,,,,,,
Southern Miss,Sun Belt,1-1,-14.5,115,19.4,111,33.6,110,-0.2,133,,,,,,,,,,,,,,
Eastern Michigan,MAC,1-1,-14.5,116,13.9,126,28.4,76,0.1,42,,,,,,,,,,,,,,
Nevada,MWC,1-2,-15.0,117,19.4,110,34.4,112,-0.1,97,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,2-0,-15.2,118,17.1,118,32.5,103,0.1,30,,,,,,,,,,,,,,
Florida Atlantic,AAC,0-2,-15.3,119,13.3,130,28.4,75,-0.2,117,,,,,,,,,,,,,,
Ball State,MAC,1-0,-15.3,120,17.3,116,32.5,104,0.0,73,,,,,,,,,,,,,,
Buffalo,MAC,1-1,-15.4,121,13.0,131,28.1,73,-0.2,129,,,,,,,,,,,,,,
Wyoming,MWC,0-2,-15.5,122,15.2,123,30.9,89,0.1,37,,,,,,,,,,,,,,
Connecticut,Indies,1-1,-16.0,123,17.2,117,33.0,105,-0.2,130,,,,,,,,,,,,,,
Western Michigan,MAC,0-2,-17.9,124,17.9,114,35.6,120,-0.2,119,,,,,,,,,,,,,,
Jacksonville State,CUSA,0-2,-18.5,125,19.6,108,38.0,127,-0.2,121,,,,,,,,,,,,,,
Middle Tennessee,CUSA,1-1,-18.8,126,17.8,115,36.5,125,-0.1,89,,,,,,,,,,,,,,
New Mexico,MWC,0-2,-19.6,127,20.7,98,40.1,132,-0.2,132,,,,,,,,,,,,,,
UTEP,CUSA,0-2,-20.4,128,14.7,125,34.8,116,-0.2,134,,,,,,,,,,,,,,
Charlotte,AAC,0-2,-21.1,129,15.4,122,36.5,124,-0.1,96,,,,,,,,,,,,,,
Massachusetts,Indies,0-2,-22.7,130,16.8,120,39.3,130,-0.2,128,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-2,-23.3,131,11.4,133,34.8,114,0.0,65,,,,,,,,,,,,,,
Kent State,MAC,0-2,-24.9,132,12.6,132,37.4,126,-0.1,88,,,,,,,,,,,,,,
Akron,MAC,0-2,-26.0,133,7.7,134,33.6,109,0.0,80,,,,,,,,,,,,,,
Temple,AAC,0-2,-28.4,134,13.7,128,42.1,134,0.0,78,,,,,,,,,,,,,,
