game_id,season,week,completed,home_team,home_points,away_team,away_points,result,winner,proj_margin,abs_error,sqd_error,straight_up_win
401628328,2024,1,TRUE,Oklahoma,51,Temple,3,-48,Oklahoma,-50.53794055800984,2.5379405580098435,6.441142275991316,1
401628584,2024,1,TRUE,Duke,26,Elon,3,-23,Duke,-26.847316206960123,3.847316206960123,14.801841996338029,1
401628461,2024,1,TRUE,Wisconsin,28,Western Michigan,14,-14,Wisconsin,-20.432247472369113,6.432247472369113,41.37380754579884,1
401634300,2024,1,TRUE,Stanford,27,TCU,34,7,TCU,23.394355923459077,16.394355923459077,268.77490614505774,1
401643703,2024,1,TRUE,Utah State,36,Robert Morris,14,-22,Utah State,-24.606488985568134,2.6064889855681344,6.7937848318880025,1
401628333,2024,1,TRUE,Vanderbilt,34,Virginia Tech,27,-7,Vanderbilt,8.895865378356714,15.895865378356714,252.67853612683962,0
401634305,2024,1,TRUE,Pittsburgh,55,Kent State,24,-31,Pittsburgh,-24.730215649372063,6.269784350627937,39.31019580337898,1
401628323,2024,1,TRUE,Georgia,34,Clemson,3,-31,Georgia,-30.384132570373513,0.615867429626487,0.37929269087473594,1
401628450,2024,1,TRUE,Iowa,40,Illinois State,0,-40,Iowa,-9.494461621043712,30.505538378956288,930.587871789975,1
401628451,2024,1,TRUE,Maryland,50,UConn,7,-43,Maryland,-27.1962852001885,15.803714799811502,249.7574014737811,1
401645322,2024,1,TRUE,Navy,49,Bucknell,21,-28,Navy,-20.1473799391059,7.8526200608941,61.66364182075647,1
401634169,2024,1,TRUE,Purdue,49,Indiana State,0,-49,Purdue,-22.06275579437697,26.93724420562303,725.6151253933716,1
401632062,2024,1,TRUE,Louisville,62,Austin Peay,0,-62,Louisville,-21.545266931120647,40.45473306887935,1636.5854276742805,1
401628457,2024,1,TRUE,West Virginia,12,Penn State,34,22,Penn State,11.048785601361072,10.951214398638928,119.92909680495659,1
401628330,2024,1,TRUE,Tennessee,69,Chattanooga,3,-66,Tennessee,-38.54394204224518,27.456057957754822,753.835118579592,1
401634212,2024,1,TRUE,Oklahoma State,44,South Dakota State,20,-24,Oklahoma State,9.273196097683693,33.273196097683694,1107.1055785549133,0
401628591,2024,1,TRUE,Cincinnati,38,Towson,20,-18,Cincinnati,-21.51494416892157,3.51494416892157,12.354832510635745,1
401637159,2024,1,TRUE,Washington State,70,Portland State,30,-40,Washington State,-23.34422452847955,16.65577547152045,277.41485655770225,1
401634197,2024,1,TRUE,Iowa State,21,North Dakota,3,-18,Iowa State,-14.62004569533859,3.3799543046614104,11.424091101599199,1
401643699,2024,1,TRUE,Air Force,21,Merrimack,6,-15,Air Force,-34.543807004169494,19.543807004169494,381.9603922162246,1
401641015,2024,1,TRUE,UTSA,28,Kennesaw State,16,-12,UTSA,-7.291276473552244,4.708723526447756,22.172077248522587,1
401644683,2024,1,TRUE,Northwestern,13,Miami (OH),6,-7,Northwestern,8.133139608379196,15.133139608379196,229.01191440669524,0
401644731,2024,1,TRUE,Northern Illinois,54,Western Illinois,15,-39,Northern Illinois,-29.207256358269667,9.792743641730333,95.89782803264985,1
401634133,2024,1,TRUE,App State,38,East Tennessee State,10,-28,App State,-41.52804760465879,13.528047604658788,183.00807199391437,1
401634304,2024,1,TRUE,Syracuse,38,Ohio,22,-16,Syracuse,4.353290577210639,20.35329057721064,414.2564373203714,0
401628454,2024,1,TRUE,Nebraska,40,UTEP,7,-33,Nebraska,-14.6880394786222,18.3119605213778,335.3278981364991,1
401628449,2024,1,TRUE,Indiana,31,Florida International,7,-24,Indiana,-9.495128053532673,14.504871946467327,210.39131018341487,1
401629039,2024,1,TRUE,Massachusetts,14,Eastern Michigan,28,14,Eastern Michigan,6.273402155685986,7.726597844314014,59.70031424775797,1
401628455,2024,1,TRUE,Ohio State,52,Akron,6,-46,Ohio State,-46.29353250020308,0.293532500203078,0.08616132867546997,1
401628322,2024,1,TRUE,Florida,17,Miami,41,24,Miami,-7.711340833660887,31.711340833660888,1005.6091374686084,0
401628331,2024,1,TRUE,Texas,52,Colorado State,0,-52,Texas,-36.1153210251387,15.884678974861302,252.3230261344007,1
401643700,2024,1,TRUE,Georgia Southern,45,Boise State,56,11,Boise State,13.365148925429974,2.365148925429974,5.593929439462561,1
401628329,2024,1,TRUE,South Carolina,23,Old Dominion,19,-4,South Carolina,-13.426420843343084,9.4264208433430845,88.85740991581295,1
401643775,2024,1,TRUE,South Alabama,38,North Texas,52,14,North Texas,-20.481076379848027,34.48107637984803,1188.9446283129134,0
401628590,2024,1,TRUE,Marshall,45,Stony Brook,3,-42,Marshall,-32.68214452901865,9.31785547098135,86.82243057809707,1
401634301,2024,1,TRUE,California,31,UC Davis,13,-18,California,-6.672412786297141,11.32758721370286,128.3142320840445,1
401628589,2024,1,TRUE,Virginia,34,Richmond,13,-21,Virginia,-10.180961310606522,10.819038689393478,117.05159816259295,1
401645320,2024,1,TRUE,East Carolina,42,Norfolk State,3,-39,East Carolina,-25.576750961036034,13.423249038963966,180.18361476204706,1
401628586,2024,1,TRUE,Liberty,41,Campbell,24,-17,Liberty,-33.28984200864579,16.289842008645792,265.3589526666412,1
401628326,2024,1,TRUE,Mississippi State,56,Eastern Kentucky,7,-49,Mississippi State,-18.69394732201559,30.30605267798441,918.456828920766,1
401643704,2024,1,TRUE,Oregon State,38,Idaho State,15,-23,Oregon State,-38.52610992025337,15.526109920253369,241.06008925579007,1
401636363,2024,1,TRUE,South Florida,48,Bethune-Cookman,3,-45,South Florida,-26.11976069828536,18.88023930171464,356.4634360900101,1
401628325,2024,1,TRUE,Ole Miss,76,Furman,0,-76,Ole Miss,-26.915564983622865,49.084435016377135,2409.2817608769496,1
401628319,2024,1,TRUE,Alabama,63,Western Kentucky,0,-63,Alabama,-18.366842125869795,44.633157874130205,1992.118781817031,1
401636611,2024,1,TRUE,Houston,7,UNLV,27,20,UNLV,3.875670698412234,16.124329301587764,259.99399542604175,1
401632064,2024,1,TRUE,Arkansas State,34,Central Arkansas,31,-3,Arkansas State,2.1349232930018314,5.134923293001831,26.36743722501277,0
401636612,2024,1,TRUE,Kansas State,41,UT Martin,6,-35,Kansas State,-34.366791199476076,0.6332088005239243,0.4009533850609469,1
401641023,2024,1,TRUE,Middle Tennessee,32,Tennessee Tech,25,-7,Middle Tennessee,-21.411772091909334,14.411772091909334,207.69917482913675,1
401641039,2024,1,TRUE,Rice,14,Sam Houston,34,20,Sam Houston,-13.242634565822096,33.242634565822094,1105.0727528767898,0
401643701,2024,1,TRUE,Troy,26,Nevada,28,2,Nevada,-25.71444061056822,27.71444061056822,768.0902183567131,0
401645321,2024,1,TRUE,Memphis,40,North Alabama,0,-40,Memphis,-30.515350748341323,9.484649251658677,89.95857142698951,1
401636610,2024,1,TRUE,Baylor,45,Tarleton State,3,-42,Baylor,-3.6721973513183706,38.327802648681626,1469.0204558762862,1
401628332,2024,1,TRUE,Texas A&M,13,Notre Dame,23,10,Notre Dame,-8.284755408218988,18.284755408218988,334.33228033839356,0
401628459,2024,1,TRUE,Hawai'i,13,UCLA,16,3,UCLA,26.107732493018588,23.107732493018588,533.967300968907,1
401628452,2024,1,TRUE,Michigan,30,Fresno State,10,-20,Michigan,-23.085907594568553,3.0859075945685532,9.522825682215874,1
401636613,2024,1,TRUE,Texas Tech,52,Abilene Christian,51,-1,Texas Tech,-19.44041243965921,18.44041243965921,340.0488109447381,1
401628321,2024,1,TRUE,Auburn,73,Alabama A&M,3,-70,Auburn,-44.65922599006703,25.34077400993297,642.1548274224943,1
401628456,2024,1,TRUE,Oregon,24,Idaho,14,-10,Oregon,-33.08439126121043,23.084391261210428,532.8891199006483,1
401628324,2024,1,TRUE,Kentucky,31,Southern Miss,0,-31,Kentucky,-19.383782529276747,11.616217470723253,134.93650832713612,1
401643702,2024,1,TRUE,San Diego State,45,Texas A&M-Commerce,14,-31,San Diego State,-26.34214429743904,4.657855702560958,21.69561974587964,1
401634302,2024,1,TRUE,Georgia Tech,35,Georgia State,12,-23,Georgia Tech,-7.556342726289486,15.443657273710514,238.50654998783165,1
401643774,2024,1,TRUE,Charlotte,7,James Madison,30,23,James Madison,32.307913231464966,9.307913231464966,86.63724872448057,1
401634240,2024,1,TRUE,BYU,41,Southern Illinois,13,-28,BYU,-3.5343059477740324,24.465694052225967,598.570185457125,1
401643776,2024,1,TRUE,Texas State,34,Lamar,27,-7,Texas State,-22.305847118480123,15.305847118480123,234.2689560142863,1
401636380,2024,1,TRUE,Louisiana,40,Grambling,10,-30,Louisiana,-30.88431216114486,0.8843121611448588,0.7820079983486907,1
401641007,2024,1,TRUE,Louisiana Tech,25,Nicholls,17,-8,Louisiana Tech,-3.854176709415718,4.145823290584282,17.187850756751082,1
401634303,2024,1,TRUE,SMU,59,Houston Christian,7,-52,SMU,-41.49442976381877,10.505570236181228,110.3670059873369,1
401641032,2024,1,TRUE,New Mexico State,23,Southeast Missouri State,16,-7,New Mexico State,-19.122729279775868,12.122729279775868,146.96056519073514,1
401636608,2024,1,TRUE,Arizona,61,New Mexico,39,-22,Arizona,-20.413048805553306,1.5869511944466943,2.5184140935557897,1
401636609,2024,1,TRUE,Arizona State,48,Wyoming,7,-41,Arizona State,10.85662597628135,51.85662597628135,2689.1096576439377,0
401628460,2024,1,TRUE,Washington,35,Weber State,3,-32,Washington,-28.018963131636404,3.9810368683635957,15.848654547270225,1
401628334,2024,1,TRUE,LSU,20,USC,27,7,USC,-11.375089531342557,18.375089531342557,337.6439152848548,0
401634306,2024,1,TRUE,Florida State,13,Boston College,28,15,Boston College,-26.482066464874656,41.482066464874656,1720.7618381962786,0
